date,close,volume,open,high,low
2018-07-23 10:58:00,190.0999,"5,381,632",190.64,191.0,189.56
2018-07-20 00:00:00,191.44,20670830.0000,191.78,192.43,190.17
2018-07-19 00:00:00,191.88,20182050.0000,189.69,192.55,189.69
2018-07-18 00:00:00,190.4,16365720.0000,191.78,191.8,189.93
2018-07-17 00:00:00,191.45,15515000.0000,189.75,191.87,189.2
2018-07-16 00:00:00,190.91,15009800.0000,191.52,192.65,190.415
2018-07-13 00:00:00,191.33,12506830.0000,191.08,191.84,190.9
2018-07-12 00:00:00,191.03,18000180.0000,189.53,191.41,189.31
2018-07-11 00:00:00,187.88,18776390.0000,188.5,189.7799,187.61
2018-07-10 00:00:00,190.35,15801370.0000,190.71,191.28,190.1801
2018-07-09 00:00:00,190.58,19636390.0000,189.5,190.68,189.3
2018-07-06 00:00:00,187.97,17426160.0000,185.42,188.434,185.2
2018-07-05 00:00:00,185.4,16543880.0000,185.26,186.41,184.28
2018-07-03 00:00:00,183.92,13954810.0000,187.79,187.95,183.54
2018-07-02 00:00:00,187.18,17675210.0000,183.82,187.3,183.42
2018-06-29 00:00:00,185.11,22551660.0000,186.29,187.19,182.91
2018-06-28 00:00:00,185.5,17352380.0000,184.1,186.21,183.8
2018-06-27 00:00:00,184.16,24987260.0000,185.228,187.28,184.03
2018-06-26 00:00:00,184.43,24378480.0000,182.99,186.53,182.54
2018-06-25 00:00:00,182.17,31632320.0000,183.4,184.92,180.73
2018-06-22 00:00:00,184.92,27185130.0000,186.12,186.15,184.7
2018-06-21 00:00:00,185.46,25649240.0000,187.25,188.35,184.94
2018-06-20 00:00:00,186.5,20490090.0000,186.35,187.2,185.73
